variant,receiver,num_users,ebno_db,block_errors,num_blocks,bler
main_d256_b4_r2,upair5g_lmmse,2,0.0,1,46080,2.170138888888889e-05
main_d256_b4_r2,baseline_ls_2dlmmse_lmmse,3,1.0,103,318720,0.00032316767068273094
main_d256_b4_r2,baseline_ls_lmmse,2,1.0,46,256000,0.0001796875
width_light_d192_b4_r2,upair5g_lmmse,3,1.0,7,115200,6.076388888888889e-05
shallow_light_d256_b2_r2,upair5g_lmmse,3,1.0,25,376320,6.64328231292517e-05
errvar_eval_swap_d256_b4_r2,upair5g_lmmse,3,1.0,19,384000,4.9479166666666665e-05
main_d256_b4_r2,baseline_ls_lmmse,3,1.0,108,38400,0.0028125
main_d256_b4_r2,baseline_ls_lmmse,4,1.0,137,5120,0.0267578125
freq_attn_only_d256_b4_r2,upair5g_lmmse,3,1.0,4,268800,1.4880952380952381e-05
main_d256_b4_r2,perfect_csi_lmmse,4,1.0,8,419840,1.9054878048780488e-05
main_d256_b4_r2,upair5g_lmmse,3,1.0,12,264960,4.528985507246377e-05
local_only_no_axial_attn_d256_b4_r2,upair5g_lmmse,3,1.0,28,384000,7.291666666666667e-05
